,b,c,e,f,g,h,i,m,n
133,IDHY8070,3,Sonipat,Kharkhoda,Sonepat(Kharkhoda),Sonepat(Kharkhoda)#Sonipat,A,Sonepat(Kharkhoda) (Kharkhoda),Kharkhoda (Sonepat(Kharkhoda))
134,QPET6819,3,Yamuna Nagar,Bilaspur,Bilaspur,Bilaspur#Yamuna Nagar,A,Bilaspur (Bilaspur),Bilaspur (Bilaspur)
135,PIYI6288,3,Yamuna Nagar,Chhachhrauli,Chhachhrauli(Khizrabad),Chhachhrauli(Khizrabad)#Yamuna Nagar,A,Chhachhrauli(Khizrabad) (Chhachhrauli),Chhachhrauli (Chhachhrauli(Khizrabad))
136,BTEE5151,3,Yamuna Nagar,Chhachhrauli,Chhachrauli,Chhachrauli#Yamuna Nagar,A,Chhachrauli (Chhachhrauli),Chhachhrauli (Chhachrauli)
137,ACYS9490,3,Yamuna Nagar,Yamunanagar,Jagadhri,Jagadhri#Yamuna Nagar,A,Jagadhri (Yamunanagar),Yamunanagar (Jagadhri)
138,RGSO5859,3,Yamuna Nagar,Jagadhri,Mustafabad,Mustafabad#Yamuna Nagar,A,Mustafabad (Jagadhri),Jagadhri (Mustafabad)
139,QDPK2573,3,Yamuna Nagar,Jagadhri,Radaur,Radaur#Yamuna Nagar,A,Radaur (Jagadhri),Jagadhri (Radaur)
140,GORY7786,3,Yamuna Nagar,Bilaspur,Sadhaura,Sadhaura#Yamuna Nagar,A,Sadhaura (Bilaspur),Bilaspur (Sadhaura)
141,EXKN4881,3,Yamuna Nagar,Yamunanagar,Yamuna Nagar,Yamuna Nagar#Yamuna Nagar,A,Yamuna Nagar (Yamunanagar),Yamunanagar (Yamuna Nagar)
142,IMTW9679,6,Bilaspur,Namhol,Namhol(Bilaspur),Namhol(Bilaspur)#Bilaspur,A,Namhol(Bilaspur) (Namhol),Namhol (Namhol(Bilaspur))
143,KEAS9174,6,Chamba,Chamba,Chamba,Chamba#Chamba,A,Chamba (Chamba),Chamba (Chamba)
144,NORK2890,6,Hamirpur,Hamirpur,Hamirpur,Hamirpur#Hamirpur,A,Hamirpur (Hamirpur),Hamirpur (Hamirpur)
145,KVOJ7409,6,Hamirpur,Nadaun,Hamirpur(Nadaun),Hamirpur(Nadaun)#Hamirpur,A,Hamirpur(Nadaun) (Nadaun),Nadaun (Hamirpur(Nadaun))
146,WWRN1574,6,Kangra,Jawalamukhi,Jwalaji,Jwalaji#Kangra,A,Jwalaji (Jawalamukhi),Jawalamukhi (Jwalaji)
147,LLUT2215,6,Kangra,Kangra,Kangra,Kangra#Kangra,A,Kangra (Kangra),Kangra (Kangra)
148,YJCW3258,6,Kangra,Baijnath,Kangra(Baijnath),Kangra(Baijnath)#Kangra,A,Kangra(Baijnath) (Baijnath),Baijnath (Kangra(Baijnath))
149,ZSZS1942,6,Kangra,Jai Singhpur,Kangra(Jaisinghpur),Kangra(Jaisinghpur)#Kangra,A,Kangra(Jaisinghpur) (Jai Singhpur),Jai Singhpur (Kangra(Jaisinghpur))
150,SIYY3422,6,Kangra,Nurpur,Kangra(Jassour),Kangra(Jassour)#Kangra,A,Kangra(Jassour) (Nurpur),Nurpur (Kangra(Jassour))
151,QDJL8933,6,Kangra,Nagrota Bagwan,Kangra(Nagrota Bagwan),Kangra(Nagrota Bagwan)#Kangra,A,Kangra(Nagrota Bagwan) (Nagrota Bagwan),Nagrota Bagwan (Kangra(Nagrota Bagwan))
152,PRIJ5239,6,Kangra,Palampur,Palampur,Palampur#Kangra,A,Palampur (Palampur),Palampur (Palampur)
153,AHMB5583,6,Kullu,Kullu Sub-District,Bandrol,Bandrol#Kullu,A,Bandrol (Kullu Sub-District),Kullu Sub-District (Bandrol)
154,GDQV6663,6,Kullu,Bhuntar,Bhuntar,Bhuntar#Kullu,A,Bhuntar (Bhuntar),Bhuntar (Bhuntar)
155,PCEH5149,6,Kullu,Sainj,Khegsu,Khegsu#Kullu,A,Khegsu (Sainj),Sainj (Khegsu)
156,DQVA1246,6,Kullu,Kullu,Kullu,Kullu#Kullu,A,Kullu (Kullu),Kullu (Kullu)
157,LADO1921,6,Kullu,Kullu,Kullu(Chauri Bihal),Kullu(Chauri Bihal)#Kullu,A,Kullu(Chauri Bihal) (Kullu),Kullu (Kullu(Chauri Bihal))
158,OQUB6775,6,Kullu,Manali Sub-District,Kullu(Patli Kuhal),Kullu(Patli Kuhal)#Kullu,A,Kullu(Patli Kuhal) (Manali Sub-District),Manali Sub-District (Kullu(Patli Kuhal))
159,EPLI2807,6,Mandi,Mandi Sub-District,Chail Chowk,Chail Chowk#Mandi,A,Chail Chowk (Mandi Sub-District),Mandi Sub-District (Chail Chowk)
160,WWUP1630,6,Mandi,Sundarnagar,Dhanotu (Mandi),Dhanotu (Mandi)#Mandi,A,Dhanotu (Mandi) (Sundarnagar),Sundarnagar (Dhanotu (Mandi))
161,RDPF2870,6,Mandi,Mandi Sub-District,Mandi(Mandi),Mandi(Mandi)#Mandi,A,Mandi(Mandi) (Mandi Sub-District),Mandi Sub-District (Mandi(Mandi))
162,HTWR4122,6,Mandi,Aut,Mandi(Takoli),Mandi(Takoli)#Mandi,A,Mandi(Takoli) (Aut),Aut (Mandi(Takoli))
163,NLID4796,6,Shimla,Rohru,Rohroo,Rohroo#Shimla,A,Rohroo (Rohru),Rohru (Rohroo)
164,CYSL3548,6,Shimla,Shimla,Shimla,Shimla#Shimla,A,Shimla (Shimla),Shimla (Shimla)
165,VUZO7332,6,Shimla,Shimla,Shimla and Kinnaur(Koti),Shimla and Kinnaur(Koti)#Shimla,A,Shimla and Kinnaur(Koti) (Shimla),Shimla (Shimla and Kinnaur(Koti))
166,XOOE2348,6,Shimla,Shimla,Shimla and Kinnaur(Nerwa),Shimla and Kinnaur(Nerwa)#Shimla,A,Shimla and Kinnaur(Nerwa) (Shimla),Shimla (Shimla and Kinnaur(Nerwa))
167,YULT8058,6,Shimla,Shimla,Shimla and Kinnaur(Rampur),Shimla and Kinnaur(Rampur)#Shimla,A,Shimla and Kinnaur(Rampur) (Shimla),Shimla (Shimla and Kinnaur(Rampur))
168,MUCS1371,6,Shimla,Theog,Shimla and Kinnaur(Theog),Shimla and Kinnaur(Theog)#Shimla,A,Shimla and Kinnaur(Theog) (Theog),Theog (Shimla and Kinnaur(Theog))
169,PTPP3987,6,Sirmore,Nahan,Nahan,Nahan#Sirmore,A,Nahan (Nahan),Nahan (Nahan)
170,VEKH2923,6,Sirmore,Paonta Sahib,Paonta Sahib,Paonta Sahib#Sirmore,A,Paonta Sahib (Paonta Sahib),Paonta Sahib (Paonta Sahib)
171,XFJF4350,6,Sirmore,Paonta Sahib,Sirmour(Bagthan),Sirmour(Bagthan)#Sirmore,A,Sirmour(Bagthan) (Paonta Sahib),Paonta Sahib (Sirmour(Bagthan))
172,XTMV6822,6,Solan,Solan,Solan,Solan#Solan,A,Solan (Solan),Solan (Solan)
173,ECNG1696,6,Solan,Nalagarh,Solan(Nalagarh),Solan(Nalagarh)#Solan,A,Solan(Nalagarh) (Nalagarh),Nalagarh (Solan(Nalagarh))
174,OYUB2530,6,Solan,Parwanoo,Solan(Parwanoo),Solan(Parwanoo)#Solan,A,Solan(Parwanoo) (Parwanoo),Parwanoo (Solan(Parwanoo))
175,XZCP1457,6,Solan,Solan Sub-District,Solan(Rajgarh),Solan(Rajgarh)#Solan,A,Solan(Rajgarh) (Solan Sub-District),Solan Sub-District (Solan(Rajgarh))
176,GZRX1457,6,Una,Una Sub-District,Santoshgarah,Santoshgarah#Una,A,Santoshgarah (Una Sub-District),Una Sub-District (Santoshgarah)
177,SPHA7826,6,Una,Una Sub-District,Santoshgarh,Santoshgarh#Una,A,Santoshgarh (Una Sub-District),Una Sub-District (Santoshgarh)
178,SARJ8369,6,Una,Una,Una,Una#Una,A,Una (Una),Una (Una)
179,UIFS1699,12,Anantnag,Una,Kulgam,Kulgam#Anantnag,A,Kulgam (Una),Una (Kulgam)
